query,phone_number,website,score
"DOMITYS CENTRE-OUEST 6 AVENUE DU GENERAL DE GAULLE
TREILLIERES 44119",Aucun résultat,Aucun site,40
"DOMITYS CENTRE-OUEST 4 AVENUE ANNE CAZENEUVE
NANTES 44200",02 55 59 61 00,domitys.fr,0
"EDOUARD DENIS TRANSACTIONS 1 RUE VAUBAN
NANTES 44000",02 40 71 90 47,edouarddenis-immobilier.com,0
"P3 GROUP SARL 3 RUE HENRI GUILLAUMET BAT. B
ORVAULT 44700",Aucun résultat,Aucun site,42
"MEDICIS PATRIMOINE 12 AVENUE CARNOT
NANTES 44017",02 22 51 14 79,medicis-patrimoine.com,0
"EDOUARD DENIS INGENIERING 21 BOULEVARD GABRIEL GUIST HAU
NANTES 44000",02 40 71 90 47,edouarddenis-immobilier.com,0
"PROPRIETES PRIVEES 44 ALLEE DES CINQ CONTINENTS
VERTOU 44120",02 40 06 18 07,proprietes-privees.com,0
"VALEMO 1 RUE EUGENE VARLIN
NANTES 44100",05 57 12 11 90,valemo.fr,0
"ARCHEODUNUM SAS 247 RUE DE LA BOUGRIERE
SAINTE-LUCE-SUR-LOIRE 44980",04 72 89 40 53,archeodunum.fr,0
"SOFREN 22 MAIL PABLO PICASSO
NANTES 44000",Aucun résultat,Aucun site,34
"ALTRAN CONNECTED SOLUTIONS 1 IMPASSE CHARLES TRENET
SAINT-HERBLAIN 44800",Numéro non trouvé,altran.com,0
"EGIS STRUCTURES ET ENVIRONNEMENT 7 RUE DE LA RAINIERE
NANTES 44339",02 28 01 90 90,egis.fr,0
"ARTOIS AUDIT 3 RUE EMILE MASSON
NANTES 44000",02 51 17 50 00,ey.com,0
"GROUPE DEPARTEMENT GESTION 2 RUE HARROUYS
CARQUEFOU 44470",02 40 52 75 75,ladresse.com,0
"DAVEO 27 RUE DU CALVAIRE
NANTES 44000",07 86 16 40 95,daveo.fr,0
"NATURALIA ENVIRONNEMENT 9 RUE MARCEL SAMBAT
NANTES 44100",Numéro non trouvé,naturalia-environnement.fr,0
"BAYWA R E FRANCE 1 RUE ST JULIEN
NANTES 44000",01 55 31 49 80,baywa-re.fr,0
"NEOEN 22 MAIL PABLO PICASSO
NANTES 44000",Aucun résultat,Aucun site,38
"SETEC FERROVIAIRE 1 ALLEE BACO
NANTES 44300",02 44 76 63 36,serige.setec.fr,0
"ECOFAC EVOLUTION 3 RUE GUGLIELMO MARCONI
SAINT-HERBLAIN 44800",02 85 29 17 09,ecofac.fr,0
"PHAREA 2 AVENUE DES AMETHYSTES
NANTES 44338",02 72 24 26 54,pharea.com,0
"SEGULA ENGINEERING FRANCE 1 RUE CHARLES LINDBERGH
BOUGUENAIS 44340",Numéro non trouvé,segulatechnologies.com,0
"ENCIS ENVIRONNEMENT 9 RUE DU PETIT CHATELIER
NANTES 44300",05 55 36 28 39,encis-environnement.fr,0
"EXCENT FRANCE ZONE ARTISANALE DE CADREAN
MONTOIR-DE-BRETAGNE 44550",Aucun résultat,Aucun site,29
"EXCENT FRANCE 1 RUE CHARLES LINDBERGH
BOUGUENAIS 44340",Aucun résultat,Aucun site,26
"CABINET BOURGOIS 27 ALLEE DES CINQ CONTINENTS
VERTOU 44120",Aucun résultat,Aucun site,39
"SOGECLAIR AEROSPACE ZONE INDUSTRIELLE DE CADREAN
MONTOIR-DE-BRETAGNE 44550",Numéro non trouvé,sogeclairaerospace.com,0
"NEXITY PROPERTY MANAGEMENT 6 RUE RENE VIVIANI
NANTES 44200",Aucun résultat,Aucun site,31
"LE CERCLE DU GRANDGOUSIER 19 - 20 BOULEVARD VAN ISEGHEM
NANTES 44000",02 40 63 10 74,lecercledugrandgousier.fr,0
"DIRECTION TECHNIQUE OPERATIONNELLE 40 RUE DE STRASBOURG
NANTES 44000",02 28 20 41 00,sdis44.fr,0
"DIRECTION TECHNIQUE OPERATIONNELLE 101 ROUTE DE VANNES
SAINT-HERBLAIN 44800",Aucun résultat,Aucun site,38
"CABINET NONY RUE DE L ABREUVOIR
NANTES 44000",Aucun résultat,Aucun site,29
"CABINET NONY RUE DE L ABREUVOIR
NANTES 44000",Aucun résultat,Aucun site,29
